iter	Passed	Remaining
0	3	370
1	6	316
2	8	284
3	10	252
4	12	241
5	14	232
6	16	225
7	19	222
8	21	218
9	23	214
10	26	210
11	28	207
12	30	204
13	33	205
14	36	206
15	39	206
16	42	205
17	44	201
18	46	198
19	48	193
20	50	190
21	52	186
22	55	185
23	57	182
24	60	180
25	62	176
26	64	173
27	66	170
28	68	168
29	70	164
30	72	162
31	75	159
32	77	156
33	78	153
34	80	149
35	82	146
36	84	144
37	87	142
38	89	140
39	91	137
40	93	133
41	93	129
42	95	126
43	97	123
44	99	121
45	102	119
46	104	117
47	106	115
48	108	112
49	110	110
50	112	107
51	113	104
52	115	102
53	118	101
54	120	98
55	121	95
56	123	93
57	125	90
58	127	88
59	129	86
60	132	84
61	134	82
62	136	80
63	138	77
64	140	75
65	142	73
66	145	71
67	148	69
68	150	67
69	151	65
70	153	62
71	156	60
72	158	58
73	160	56
74	163	54
75	165	52
76	166	49
77	169	47
78	171	45
79	173	43
80	176	41
81	178	39
82	180	36
83	182	34
84	183	32
85	185	30
86	187	28
87	190	25
88	192	23
89	194	21
90	195	19
91	197	17
92	199	14
93	201	12
94	203	10
95	205	8
96	208	6
97	210	4
98	213	2
99	215	0
